,,,,,,, จำนวนเงินทั้งหมด , ค่าของจากใบเสร็จ ,เหลือ,,,,,,,
,,,,,,," 181,800.00 "," 167,737.02 "," 14,062.98 ",,,,,,,
 เงิน ,รายละเอียด,ลำดับ,ลำดับในบิล,วันที่ในบิล,รายการ,จำนวน, ราคา , ราคารวม ,ชื่อร้าน,หมายเหตุ,,,,,,
,,38,2,12/11/19,ฝาพลาสติก WEG 6802W Pana,70, 15.00 ," 1,050.00 ",ชัยวัฒน์,CL6204935,,,,,, 14.00 
,,39,3,12/11/19,พุกพลาสติก สีขาว NO.4/1 KG,1, 90.00 , 90.00 ,ชัยวัฒน์,CL6204935,,,,,, 182.00 
,,40,4,12/11/19,"สกรูเกลียวปล่อย #7x1"" หัว P",1, 210.00 , 210.00 ,ชัยวัฒน์,CL6204935,,,,,, 858.00 
,,41,5,12/11/19,เต้ารับ Cat.6 Link/US-1006SL,80, 89.00 ," 7,120.00 ",ชัยวัฒน์,CL6204935,, 490.00 ,,,, 990.00 
,,42,6,12/11/19,ภาษี 7%,7%,, 627.20 ,ชัยวัฒน์,CL6204935,,1050,,,, 168.00 
,,43,1,12/11/19,ปลั๊กคู่ 3P WEG15929 Pana,288, 99.00 ," 28,512.00 ",ชัยวัฒน์,CL6204934,,90,,,, 28.00 
,,44,2,12/11/19,เบเกอร์ HB BS1113YT 30A Pana,69, 90.00 ," 6,210.00 ",ชัยวัฒน์,CL6204934,,210,,,, 75.00 
,,45,3,12/11/19,กล่องเบเกอร์ พิมพ์ทอง Nana,72, 9.00 , 648.00 ,ชัยวัฒน์,CL6204934,,7120,,,," 1,914.01 "
,,46,4,12/11/19,ฝาเสริม WEG RJ45 LINK US-2006,60, 12.00 , 720.00 ,ชัยวัฒน์,CL6204934,,627.2,,,,-0.01 
,,47,5,12/11/19,แจ็คตัวผู้ Cat5 US-1001/LINK,140, 5.50 , 770.00 ,ชัยวัฒน์,CL6204934,,28512,,,," 4,500.00 "
,,48,6,12/11/19,สาย Cat.5 US-9015 Link/305M,2," 2,050.00 "," 4,100.00 ",ชัยวัฒน์,CL6204934,,6210,,,,"-1,260.00 "
,,49,7,12/11/19,สาย IEC01 ~THW 4MM2-YA/B,4, 880.00 ," 3,520.00 ",ชัยวัฒน์,CL6204934,,648,,,, 226.80 
,,50,8,12/11/19,สาย IEC01 ~THW 4MM2-YA/R,4, 880.00 ," 3,520.00 ",ชัยวัฒน์,CL6204934,,720,,,, 620.00 
,,51,9,12/11/19,สาย IEC01 ~THW 2.5MM2-YA/G,1, 570.00 , 570.00 ,ชัยวัฒน์,CL6204934,,770,,,, 140.00 
,,52,10,12/11/19,BOXลอย [4x4] WEG 404-1 Nano,144, 12.00 ," 1,728.00 ",ชัยวัฒน์,CL6204934,,4100,,,,
,,53,11,12/11/19,ฝาพลาสติก WEG 6806W Pana,144, 58.00 ," 8,352.00 ",ชัยวัฒน์,CL6204934,,3520,,,,
,,54,12,12/11/19,ภาษี 7%,7%,," 4,105.50 ",ชัยวัฒน์,CL6204934,,3520,,,,
,,55,1,12/12/19,Leetech MT2060 รางเก็บสายไฟ ,128, 125.00 ," 16,000.00 ",เค.ที.ซี.อีเล็คทริค (2012),IV6212-0044,,570,,,,
,,56,2,12/12/19,Leetech MT3265 รางเก็บสายไฟ ,150, 150.00 ," 22,500.00 ",เค.ที.ซี.อีเล็คทริค (2012),IV6212-0044,,1728,,,,
